0,1,2,3,4,5,6,7,8,9
0.990816,0.000000,0.001020,0.000000,0.000000,0.001020,0.002041,0.003061,0.002041,0.000000
0.000000,0.989427,0.001762,0.000881,0.000881,0.000000,0.001762,0.004405,0.000881,0.000000
0.000969,0.000000,0.982558,0.001938,0.001938,0.000000,0.000000,0.010659,0.001938,0.000000
0.000000,0.000000,0.000000,0.989109,0.000000,0.005941,0.000000,0.001980,0.002970,0.000000
0.000000,0.000000,0.000000,0.000000,0.997963,0.000000,0.001018,0.000000,0.000000,0.001018
0.000000,0.000000,0.000000,0.003363,0.000000,0.993274,0.001121,0.000000,0.001121,0.001121
0.001044,0.002088,0.000000,0.000000,0.001044,0.002088,0.993737,0.000000,0.000000,0.000000
0.000000,0.000000,0.002918,0.000000,0.000000,0.000973,0.000000,0.994163,0.000000,0.001946
0.000000,0.000000,0.003080,0.000000,0.000000,0.000000,0.000000,0.001027,0.994867,0.001027
0.000000,0.000000,0.000000,0.000000,0.010902,0.002973,0.000000,0.005946,0.000991,0.979187
